nStrip  Strip_Length
0       9.6
1       12.8
2       16
3       19.2
4       22.4
5       25.6
6       28.8
7       32
8       35.2
9       38.4
10      41.6
11      44.8
12      48
13      51.2
14      54.4
15      57.6
16      60.8
17      64
18      67.2
19      70.4
20      73.6
21      76.8
22      80
23      83.2
24      86.4
25      89.6
26      92.8
27      96
28      99.2
29      102.4
30      105.6
31      108.8
32      112
33      115.2
34      118.4
35      121.6
36      124.8
37      128
38      131.2
39      134.4
40      137.6
41      140.8
42      144
43      147.2
44      150.4
45      153.6
46      156.8
47      160
48      163.2
49      166.4
50      169.6
51      172.8
52      176
53      179.2
54      182.4
55      185.6
56      188.8
57      192
58      195.2
